Name,Passport,Snils,Symptoms,Analysis,Doctor,DateStart,DateEnd,Price,Card
Шапошников‎ Радимир Артёмович,9416 767110,922-761-372 10,Одышка,КТ (компьютерная томография),Диетолог,2025-01-20T15:21+03:00,2025-01-21T15:53+03:00,2400.0,5244 6890 8952 0873
Мухин‎ Горецвет Львович,8719 221542,191-960-088 95,Боль в горле,Гастроэнтероскопия,Эндокринолог,2024-12-03T12:20+03:00,2024-12-04T17:54+03:00,1900.0,5479 4834 5734 8432
Селезнёва Ростислава Марковна,3814 580396,969-934-289 05,Температура,МРТ (магнитно-резонансная томография),Стоматолог,2025-03-04T13:25+03:00,2025-03-05T18:37+03:00,2200.0,4377 7251 1195 8307
Медейко‎ Мокроус Харлампович,8910 106806,311-713-280 22,Слабость,Электрокардиограмма (ЭКГ),Оториноларинголог,2025-01-24T20:16+03:00,2025-01-23T12:32+03:00,8000.0,5421 0477 0333 1503
Горелов‎ Светислав  Ермолаевич,5921 438819,842-876-454 49,Затрудненное дыхание,МРТ (магнитно-резонансная томография),Ревматолог,2024-10-16T12:07+03:00,2024-10-17T17:56+03:00,1800.0,2202 1519 2693 9679
Филиппов‎ Мезамир Изотович,9121 868377,581-558-069 22,Кашель,Кровь (общий анализ),Онколог,2025-01-28T13:41+03:00,2025-01-29T13:14+03:00,5800.0,5244 6850 5842 4847
Дубинина Уйка Генриховна,6021 445840,756-267-395 45,Одышка,Кровь (общий анализ),Диетолог,2024-09-25T16:42+03:00,2024-09-26T17:31+03:00,2600.0,2202 1550 4494 9717
Карпов‎ Берез Никодимович,4400 455574,379-664-538 55,Затрудненное дыхание,КТ (компьютерная томография),Гастроэнтеролог,2024-09-02T17:41+03:00,2024-09-03T20:00+03:00,8400.0,4276 8077 8649 1987
Ширяев‎ Радовлад Ильгизович,7619 895534,599-678-668 18,Боль в горле,Гастроэнтероскопия,Пульмонолог,2025-01-06T14:04+03:00,2025-01-07T18:13+03:00,8200.0,4105 8420 9199 3156
Русанов‎ Богша Соломонович,4616 517597,474-646-257 21,Насморк,МРТ (магнитно-резонансная томография),Педиатр,2025-04-11T19:59+03:00,2025-04-10T17:26+03:00,8300.0,5101 2616 4103 0585
Ларионов‎ Новик Ефремович,6204 118989,611-554-734 70,Температура,Рентгенография,Дерматолог,2024-10-31T16:56+03:00,2024-11-01T18:38+03:00,9500.0,4377 7241 4888 6399
Андреев‎ Мечислав Никифорович,1021 684491,151-452-672 46,Кашель,Биохимический анализ крови,Гепатолог,2024-09-12T20:22+03:00,2024-09-13T20:39+03:00,2300.0,4105 8431 4856 5908
Царёва Некраса Сергеевна,4212 096869,370-252-572 58,Одышка,Кровь (общий анализ),Гастроэнтеролог,2024-11-22T18:19+03:00,2024-11-21T18:31+03:00,2500.0,4188 6848 6329 2722
Ермакова Всеслава Кузьминична,1618 319790,604-765-094 95,Повышенное давление,КТ (компьютерная томография),Гепатолог,2025-05-06T21:00+03:00,2025-05-07T16:06+03:00,3000.0,2202 2025 4090 2564
Смирнов‎ Целыгост Григорьевич,9405 379280,747-935-473 60,Кашель,Электрокардиограмма (ЭКГ),УЗИ-специалист,2025-03-20T15:51+03:00,2025-03-21T15:53+03:00,9200.0,2202 2071 4894 7724
